,Values(Km^2),date
460,5686.25,2011-04-10
461,1782.75,2011-04-11
462,1807.5,2011-04-12
463,709.5,2011-04-13
464,6150.75,2011-04-14
465,6776.25,2011-04-15
466,6477.25,2011-04-16
467,6784.0,2011-04-17
468,6195.75,2011-04-18
469,6730.75,2011-04-19
470,5.75,2011-04-20
471,981.0,2011-04-21
472,0.0,2011-04-22
473,143.25,2011-04-23
474,6196.25,2011-04-24
475,312.0,2011-04-25
476,1037.25,2011-04-26
477,5861.0,2011-04-27
478,2975.5,2011-04-28
479,397.5,2011-04-29
480,0.0,2011-04-30
481,2625.75,2011-05-01
482,252.75,2011-05-02
483,5786.75,2011-05-03
484,6327.5,2011-05-04
485,5578.5,2011-05-05
486,2397.75,2011-05-06
487,4369.75,2011-05-07
488,1577.0,2011-05-08
489,6705.75,2011-05-09
490,6443.0,2011-05-10
491,6662.5,2011-05-11
492,6782.5,2011-05-12
493,2598.75,2011-05-13
494,2519.25,2011-05-14
495,4069.25,2011-05-15
496,352.5,2011-05-16
497,77.0,2011-05-17
498,103.75,2011-05-18
499,6426.25,2011-05-19
500,6785.0,2011-05-20
501,6785.0,2011-05-21
502,6778.5,2011-05-22
503,6785.0,2011-05-23
504,6783.75,2011-05-24
505,6783.75,2011-05-25
506,6774.75,2011-05-26
507,6742.75,2011-05-27
508,6784.75,2011-05-28
509,6568.0,2011-05-29
510,5884.25,2011-05-30
511,6761.0,2011-05-31
512,4969.75,2011-06-01
513,6172.75,2011-06-02
514,3541.0,2011-06-03
515,6784.25,2011-06-04
516,6785.0,2011-06-05
517,6697.0,2011-06-06
518,6129.5,2011-06-07
519,5923.75,2011-06-08
520,6374.0,2011-06-09
521,6645.75,2011-06-10
522,6783.75,2011-06-11
523,3542.25,2011-06-12
524,6785.0,2011-06-13
525,6709.5,2011-06-14
526,6785.0,2011-06-15
527,6784.0,2011-06-16
528,6785.0,2011-06-17
529,6785.0,2011-06-18
530,6785.0,2011-06-19
531,0.0,2011-06-20
532,6785.0,2011-06-21
533,6785.0,2011-06-22
534,6785.0,2011-06-23
535,6785.0,2011-06-24
536,6742.25,2011-06-25
537,6785.0,2011-06-26
538,6785.0,2011-06-27
539,6784.5,2011-06-28
540,6785.0,2011-06-29
541,6785.0,2011-06-30
542,6594.5,2011-07-01
543,6785.0,2011-07-02
544,6772.5,2011-07-03
545,6784.75,2011-07-04
546,6759.5,2011-07-05
547,6785.0,2011-07-06
548,5797.75,2011-07-07
549,6226.25,2011-07-08
550,6740.25,2011-07-09
551,5968.5,2011-07-10
552,6785.0,2011-07-11
553,6783.0,2011-07-12
554,6785.0,2011-07-13
555,6785.0,2011-07-14
556,6785.0,2011-07-15
557,6785.0,2011-07-16
558,5322.25,2011-07-17
559,6752.5,2011-07-18
560,5893.75,2011-07-19
561,5516.75,2011-07-20
562,5322.0,2011-07-21
563,6732.5,2011-07-22
564,6435.25,2011-07-23
565,6748.25,2011-07-24
566,6773.25,2011-07-25
567,1989.25,2011-07-26
568,6785.0,2011-07-27
569,6785.0,2011-07-28
570,6785.0,2011-07-29
571,6785.0,2011-07-30
572,6785.0,2011-07-31
573,6785.0,2011-08-01
574,6785.0,2011-08-02
575,6785.0,2011-08-03
576,6785.0,2011-08-04
577,6785.0,2011-08-05
578,6781.5,2011-08-06
579,6785.0,2011-08-07
580,6783.5,2011-08-08
581,6785.0,2011-08-09
582,6785.0,2011-08-10
583,6680.0,2011-08-11
584,4389.25,2011-08-12
585,6785.0,2011-08-13
586,6785.0,2011-08-14
587,6785.0,2011-08-15
588,6785.0,2011-08-16
589,6785.0,2011-08-17
590,6785.0,2011-08-18
591,6785.0,2011-08-19
592,6785.0,2011-08-20
593,6785.0,2011-08-21
594,6785.0,2011-08-22
595,6781.5,2011-08-23
596,6747.75,2011-08-24
597,6780.0,2011-08-25
598,6781.0,2011-08-26
599,6785.0,2011-08-27
600,6785.0,2011-08-28
601,1453.75,2011-08-29
602,6717.75,2011-08-30
603,6763.25,2011-08-31
604,6785.0,2011-09-01
605,6785.0,2011-09-02
606,6785.0,2011-09-03
607,6785.0,2011-09-04
608,6785.0,2011-09-05
609,6785.0,2011-09-06
610,6784.75,2011-09-07
611,6785.0,2011-09-08
612,6784.0,2011-09-09
613,6785.0,2011-09-10
614,6687.25,2011-09-11
615,6785.0,2011-09-12
616,6785.0,2011-09-13
617,6785.0,2011-09-14
618,6785.0,2011-09-15
619,6784.0,2011-09-16
620,6785.0,2011-09-17
621,6784.5,2011-09-18
622,6785.0,2011-09-19
623,3339.25,2011-09-20
624,6784.75,2011-09-21
625,6785.0,2011-09-22
626,3593.0,2011-09-23
627,6785.0,2011-09-24
628,6780.5,2011-09-25
629,6782.75,2011-09-26
630,6785.0,2011-09-27
631,6265.75,2011-09-28
632,6785.0,2011-09-29
633,215.75,2011-09-30
634,6648.5,2011-10-01
635,2201.25,2011-10-02
636,6785.0,2011-10-03
637,6784.75,2011-10-04
638,6785.0,2011-10-05
639,6785.0,2011-10-06
640,6785.0,2011-10-07
641,6785.0,2011-10-08
642,6785.0,2011-10-09
643,6784.5,2011-10-10
644,6718.0,2011-10-11
645,6785.0,2011-10-12
646,6051.5,2011-10-13
647,6781.25,2011-10-14
648,6785.0,2011-10-15
649,5951.0,2011-10-16
650,6623.0,2011-10-17
651,6661.75,2011-10-18
652,6115.0,2011-10-19
653,6750.75,2011-10-20
654,6783.25,2011-10-21
655,6783.0,2011-10-22
656,6593.25,2011-10-23
657,5820.5,2011-10-24
658,770.25,2011-10-25
659,47.75,2011-10-26
660,9.5,2011-10-27
661,719.25,2011-10-28
662,0.0,2011-10-29
663,1060.75,2011-10-30
664,4476.0,2011-10-31
665,1442.25,2011-11-01
666,6114.75,2011-11-02
667,6755.0,2011-11-03
668,2563.5,2011-11-04
669,1573.0,2011-11-05
670,4120.25,2011-11-06
671,4806.25,2011-11-07
672,136.0,2011-11-08
673,4651.5,2011-11-09
674,1695.5,2011-11-10
675,6722.75,2011-11-11
676,5409.25,2011-11-12
677,6175.5,2011-11-13
678,6422.25,2011-11-14
679,3464.5,2011-11-15
680,2368.75,2011-11-16
681,61.25,2011-11-17
682,6382.5,2011-11-18
683,0.0,2011-11-19
684,445.5,2011-11-20
